               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.018823,            0.008711,           0.0010742,             0.98668,             0.98766,             0.99432,             0.81642,            0.016821,           0.0053809,          0.00034306,            0.070096,           0.0033227,           0.0033227
                   1,            0.021791,           0.0090049,           0.0011662,             0.98583,             0.97891,             0.99322,              0.7521,            0.020887,            0.006255,          0.00041896,            0.039437,           0.0059971,           0.0059971
                   2,            0.024226,           0.0096383,           0.0015218,             0.97352,              0.9783,             0.98924,              0.7696,            0.021282,           0.0066589,          0.00063199,            0.008118,           0.0080115,           0.0080115
                   3,            0.024686,           0.0098923,           0.0016852,             0.98463,             0.96771,             0.99236,             0.80022,            0.019377,           0.0064156,          0.00093918,             0.00703,             0.00703,             0.00703
                   4,            0.023872,           0.0098928,           0.0018467,             0.97731,              0.9725,              0.9892,             0.78722,            0.018164,           0.0067237,          0.00078284,             0.00703,             0.00703,             0.00703
                   5,            0.022531,           0.0095523,           0.0013964,             0.99068,             0.97371,             0.99124,             0.78529,            0.018741,           0.0062644,          0.00049925,             0.00604,             0.00604,             0.00604
                   6,            0.021157,           0.0091376,           0.0014063,             0.97657,             0.97943,             0.99114,             0.80289,            0.017851,           0.0059564,            0.001045,             0.00505,             0.00505,             0.00505
                   7,            0.019566,           0.0086197,           0.0011663,             0.98629,             0.98278,             0.99344,             0.81156,            0.017464,           0.0057011,          0.00062344,             0.00406,             0.00406,             0.00406
                   8,            0.018492,           0.0082872,          0.00086812,             0.98724,             0.98714,             0.99422,             0.82624,            0.016406,           0.0054269,          0.00047862,             0.00307,             0.00307,             0.00307
                   9,             0.01748,           0.0081232,          0.00085356,              0.9956,             0.98143,             0.99433,             0.82672,            0.015861,            0.005527,          0.00010282,             0.00208,             0.00208,             0.00208
